date,hour,miniute,end,meannumber
3,11,30,18,125.0240741
3,11,30,19,102.162963
3,11,30,20,108.112963
3,11,30,21,126.1907407
3,11,30,22,68.51666667
3,11,30,23,132.5592593
3,11,30,24,131.6
3,12,0,9,188.0685185
3,12,0,10,180.0333333
3,12,0,11,159.6481481
3,12,0,12,259.0777778
3,12,0,13,143.7407407
3,12,0,14,123.5666667
3,12,0,15,131.1259259
3,12,0,16,133.8759259
3,12,0,17,188.2185185
3,12,0,18,122.0851852
3,12,0,19,100.2444444
3,12,0,20,108.8314815
3,12,0,21,125.7666667
3,12,0,22,66.58518519
3,12,0,23,131.8925926
3,12,0,24,135.987037
3,12,30,9,197.212963
3,12,30,10,196.312963
3,12,30,11,175.8814815
3,12,30,12,278.1037037
3,12,30,13,158.2796296
3,12,30,14,135.9481481
3,12,30,15,150.2944444
3,12,30,16,146.9333333
3,12,30,17,203.7462963
3,12,30,18,134.3351852
3,12,30,19,108.7481481
3,12,30,20,113.4981481
3,12,30,21,134.7611111
3,12,30,22,72.53703704
3,12,30,23,146.712963
3,12,30,24,140.3111111
3,13,0,9,207.4259259
3,13,0,10,205.5648148
3,13,0,11,182.7648148
3,13,0,12,285.1814815
3,13,0,13,164.2351852
3,13,0,14,142.1685185
3,13,0,15,159.7018519
3,13,0,16,153.2648148
3,13,0,17,212.2277778
3,13,0,18,137.9203704
3,13,0,19,108.6055556
3,13,0,20,115.5537037
3,13,0,21,137.5259259
3,13,0,22,72.70925926
3,13,0,23,150.4425926
3,13,0,24,143.7240741
3,13,30,9,219.7333333
3,13,30,10,216.587037
3,13,30,11,190.1074074
3,13,30,12,300.6481481
3,13,30,13,173.6314815
3,13,30,14,147.7777778
3,13,30,15,166.8555556
3,13,30,16,160.987037
3,13,30,17,227.0518519
3,13,30,18,145.5722222
3,13,30,19,116.8055556
3,13,30,20,123.412963
3,13,30,21,146.1314815
3,13,30,22,78.1037037
3,13,30,23,159.4351852
3,13,30,24,154.9555556
3,14,0,9,208.8148148
3,14,0,10,206.2722222
3,14,0,11,184.5907407
3,14,0,12,287.787037
3,14,0,13,164.8833333
3,14,0,14,142.5574074
3,14,0,15,160.3185185
3,14,0,16,158.0574074
3,14,0,17,223.2574074
3,14,0,18,142.9203704
3,14,0,19,113.4796296
3,14,0,20,120.6333333
3,14,0,21,142.7462963
3,14,0,22,78.30925926
3,14,0,23,160.5648148
3,14,0,24,157.5907407
3,14,30,9,203.6685185
3,14,30,10,202.1574074
3,14,30,11,182.6425926
3,14,30,12,282.6388889
3,14,30,13,163.2907407
3,14,30,14,141.837037
3,14,30,15,160.75
3,14,30,16,155.8537037
3,14,30,17,220.6962963
3,14,30,18,142.4537037
3,14,30,19,116.662963
3,14,30,20,121.2425926
3,14,30,21,142.8814815
3,14,30,22,79.29259259
3,14,30,23,160.8166667
3,14,30,24,159.7851852
3,15,0,9,198.1481481
3,15,0,10,193.1925926
3,15,0,11,177.6092593
3,15,0,12,284.5907407
3,15,0,13,158.9981481
3,15,0,14,140.5759259
3,15,0,15,157.9462963
3,15,0,16,155.3314815
3,15,0,17,219.1388889
3,15,0,18,141.337037
3,15,0,19,116.2185185
3,15,0,20,121.9481481
3,15,0,21,143.4037037
3,15,0,22,80.26296296
3,15,0,23,163.8925926
3,15,0,24,165.8703704
3,15,30,9,209.4944444
3,15,30,10,204.6481481
3,15,30,11,189.3259259
3,15,30,12,297.8222222
3,15,30,13,166.3351852
3,15,30,14,146.3185185
3,15,30,15,160.937037
3,15,30,16,157.7277778
3,15,30,17,221.4981481
3,15,30,18,144.9388889
3,15,30,19,122.0333333
3,15,30,20,127.062963
3,15,30,21,152.3574074
3,15,30,22,86.58518519
3,15,30,23,178.1444444
3,15,30,24,179.9277778
3,16,0,9,217.7259259
3,16,0,10,211.8055556
3,16,0,11,195.3166667
3,16,0,12,307.1277778
3,16,0,13,171.0462963
3,16,0,14,152.8037037
3,16,0,15,161.3814815
3,16,0,16,158.1981481
3,16,0,17,223.7351852
3,16,0,18,147.3111111
3,16,0,19,122.6055556
3,16,0,20,134.0611111
3,16,0,21,160.9148148
3,16,0,22,89.97777778
3,16,0,23,188.6666667
3,16,0,24,187.5296296
3,16,30,9,228.4222222
3,16,30,10,227.9166667
3,16,30,11,212.0166667
3,16,30,12,331.887037
3,16,30,13,183.5518519
3,16,30,14,167.2814815
3,16,30,15,171.6851852
3,16,30,16,172.2685185
3,16,30,17,244.4833333
3,16,30,18,158.8962963
3,16,30,19,131.5944444
3,16,30,20,149.0425926
3,16,30,21,176.1222222
3,16,30,22,97.64814815
3,16,30,23,202.6185185
3,16,30,24,197.5814815
3,17,0,9,241.8611111
3,17,0,10,246.7259259
3,17,0,11,228.5166667
3,17,0,12,350.5407407
3,17,0,13,194.1111111
3,17,0,14,180.6259259
3,17,0,15,181.2351852
3,17,0,16,188.6388889
3,17,0,17,272.0555556
3,17,0,18,178.4981481
3,17,0,19,150.8037037
3,17,0,20,172.6314815
3,17,0,21,200.8407407
3,17,0,22,101.6296296
3,17,0,23,203.362963
3,17,0,24,207.2203704
3,17,30,9,254.6407407
3,17,30,10,264.6925926
3,17,30,11,240.5462963
3,17,30,12,347.5222222
3,17,30,13,181.7925926
3,17,30,14,175.2574074
3,17,30,15,183.9240741
3,17,30,16,197.1222222
3,17,30,17,282.8444444
3,17,30,18,187.7796296
3,17,30,19,164.6703704
3,17,30,20,181.187037
3,17,30,21,213.0037037
3,17,30,22,108.3333333
3,17,30,23,206.7814815
3,17,30,24,211.2185185
3,18,0,9,262.8277778
3,18,0,10,279.0037037
3,18,0,11,252.0222222
3,18,0,12,360.4277778
3,18,0,13,181.6462963
3,18,0,14,157.3481481
3,18,0,15,170.8851852
3,18,0,16,188.3462963
3,18,0,17,267.5722222
3,18,0,18,177.5333333
3,18,0,19,157.7481481
3,18,0,20,175.7648148
3,18,0,21,213.8018519
3,18,0,22,111.8592593
3,18,0,23,199.6907407
3,18,0,24,202.6277778
3,18,30,9,257.1259259
3,18,30,10,276.8555556
3,18,30,11,249.2018519
3,18,30,12,371.1648148
3,18,30,13,173.0407407
3,18,30,14,140.8185185
3,18,30,15,155.0166667
3,18,30,16,171.962963
3,18,30,17,242.1814815
3,18,30,18,161.2037037
3,18,30,19,138.7074074
3,18,30,20,158.5388889
3,18,30,21,202.0148148
3,18,30,22,110.8259259
3,18,30,23,191.1925926
3,18,30,24,194.4537037
3,19,0,9,234.4037037
3,19,0,10,242.0851852
3,19,0,11,218.7444444
3,19,0,12,336.9074074
3,19,0,13,151.2574074
3,19,0,14,125.1296296
3,19,0,15,138.5481481
3,19,0,16,157.6944444
3,19,0,17,222.2777778
3,19,0,18,148.3944444
3,19,0,19,128.0259259
3,19,0,20,143.662963
3,19,0,21,184.9851852
3,19,0,22,105.3888889
3,19,0,23,180.45
3,19,0,24,187.7351852
3,19,30,9,198.0481481
3,19,30,10,195.8314815
3,19,30,11,177.462963
3,19,30,12,280.6185185
3,19,30,13,134.35
3,19,30,14,115.6611111
3,19,30,15,128.0240741
3,19,30,16,145.0833333
3,19,30,17,206.5333333
3,19,30,18,137.4666667
3,19,30,19,119.887037
3,19,30,20,130.9111111
3,19,30,21,170.0407407
3,19,30,22,98.53333333
3,19,30,23,171.9851852
3,19,30,24,175.6925926
3,20,0,9,164.6333333
3,20,0,10,158.9592593
3,20,0,11,149.8907407
3,20,0,12,248.9407407
3,20,0,13,123.0462963
3,20,0,14,108.4092593
3,20,0,15,112.5333333
3,20,0,16,128.7907407
3,20,0,17,188.2277778
3,20,0,18,122.4203704
3,20,0,19,105.1407407
3,20,0,20,118.8685185
3,20,0,21,150.4
3,20,0,22,87.75925926
3,20,0,23,153.5925926
3,20,0,24,161.5296296
3,20,30,9,158.0296296
3,20,30,10,148.687037
3,20,30,11,141.2740741
3,20,30,12,235.4888889
3,20,30,13,122.7074074
3,20,30,14,106.3907407
3,20,30,15,107.4537037
3,20,30,16,122.1648148
3,20,30,17,179.8425926
3,20,30,18,115.3888889
3,20,30,19,94.12407407
3,20,30,20,105.8296296
3,20,30,21,137.4388889
3,20,30,22,81.88518519
3,20,30,23,148.7962963
3,20,30,24,146.1555556
3,21,0,9,155.0925926
3,21,0,10,141.7166667
3,21,0,11,135.4240741
3,21,0,12,225.4388889
3,21,0,13,120.2166667
3,21,0,14,105.262963
3,21,0,15,101.6777778
3,21,0,16,116.8277778
3,21,0,17,174.1388889
3,21,0,18,108.9074074
3,21,0,19,84.9037037
3,21,0,20,94.13333333
3,21,0,21,122.6777778
3,21,0,22,73.40925926
3,21,0,23,136.3185185
3,21,0,24,133.7759259
3,21,30,9,151.7814815
3,21,30,10,137.8481481
3,21,30,11,130.7407407
3,21,30,12,210.687037
3,21,30,13,118.0777778
3,21,30,14,102.45
3,21,30,15,97.07592593
3,21,30,16,112.712963
3,21,30,17,169.8907407
3,21,30,18,103.9425926
3,21,30,19,77.06481481
3,21,30,20,86.11666667
3,21,30,21,111.9722222
3,21,30,22,70.3
3,21,30,23,129.3796296
3,21,30,24,125.7481481
3,22,0,9,138.7296296
3,22,0,10,122.2555556
3,22,0,11,114.9444444
3,22,0,12,175.787037
3,22,0,13,103.2462963
3,22,0,14,88.99444444
3,22,0,15,85.3462963
3,22,0,16,99.37407407
3,22,0,17,145.7277778
3,22,0,18,87.80185185
3,22,0,19,65.27592593
3,22,0,20,72.27592593
3,22,0,21,92.95
3,22,0,22,62.43888889
3,22,0,23,110.2444444
3,22,0,24,105.3796296
3,22,30,9,115.4907407
3,22,30,10,102.8166667
3,22,30,11,97.99444444
3,22,30,12,137.9759259
3,22,30,13,83.94259259
3,22,30,14,71.88518519
3,22,30,15,69.21111111
3,22,30,16,77.3037037
3,22,30,17,111.9203704
3,22,30,18,69.23888889
3,22,30,19,52.49444444
3,22,30,20,58.57222222
3,22,30,21,73.98518519
3,22,30,22,50.12962963
3,22,30,23,86.2462963
3,22,30,24,81.83148148
3,23,0,9,91.74074074
3,23,0,10,81.75555556
3,23,0,11,78.83703704
3,23,0,12,106.8240741
3,23,0,13,66.54444444
3,23,0,14,57.76111111
3,23,0,15,55.71481481
3,23,0,16,61.73888889
3,23,0,17,88.28148148
3,23,0,18,54.79259259
3,23,0,19,42.46851852
3,23,0,20,47.00555556
3,23,0,21,58.40740741
3,23,0,22,38.73148148
3,23,0,23,65.35185185
3,23,0,24,63.7462963
3,23,30,9,75.37407407
3,23,30,10,66.86111111
3,23,30,11,64.48888889
3,23,30,12,85.0037037
3,23,30,13,54.00740741
3,23,30,14,46.53888889
3,23,30,15,44.6462963
3,23,30,16,48.66111111
3,23,30,17,69.37592593
3,23,30,18,43.27407407
3,23,30,19,34.8
3,23,30,20,38.36296296
3,23,30,21,47.37037037
3,23,30,22,30.97592593
3,23,30,23,51.88703704
3,23,30,24,51.24259259
4,0,0,9,61.3699187
4,0,0,10,54.36382114
4,0,0,11,52.77235772
4,0,0,12,68.90853659
4,0,0,13,43.41260163
4,0,0,14,37.83739837
4,0,0,15,34.80284553
4,0,0,16,38.03658537
4,0,0,17,54.33943089
4,0,0,18,35.28455285
4,0,0,19,27.2703252
4,0,0,20,31.54878049
4,0,0,21,38.09552846
4,0,0,22,25.54268293
4,0,0,23,41.99796748
4,0,0,24,41.40650407
4,0,30,9,50.80284553
4,0,30,10,44.10772358
4,0,30,11,43.38414634
4,0,30,12,56.79268293
4,0,30,13,36.57317073
4,0,30,14,30.98170732
4,0,30,15,27.7804878
4,0,30,16,30.15853659
4,0,30,17,43.60569106
4,0,30,18,28.19105691
4,0,30,19,21.08943089
4,0,30,20,25.51219512
4,0,30,21,30.92479675
4,0,30,22,20.70934959
4,0,30,23,32.74593496
4,0,30,24,32.26829268
4,1,0,9,40.69715447
4,1,0,10,35.82926829
4,1,0,11,34.95731707
4,1,0,12,43.51829268
4,1,0,13,28.14837398
4,1,0,14,24.15650407
4,1,0,15,21.87601626
4,1,0,16,23.99796748
4,1,0,17,34.54674797
4,1,0,18,22.57317073
4,1,0,19,17.29674797
4,1,0,20,20.58943089
4,1,0,21,24.86178862
4,1,0,22,16.67073171
4,1,0,23,25.33943089
4,1,0,24,25.42682927
4,1,30,9,34.83739837
4,1,30,10,29.2804878
4,1,30,11,29.46138211
4,1,30,12,35.4004065
